,name,genre_name,number_of_episodes,popularity,vote_average,vote_count,overview,creator_names,poster_path
735,Time Team,"Documentary, Mystery",233,4.817,6.923,13,"Time Team is a British television series which has been aired on British Channel 4 from 1994. Created by television producer Tim Taylor and presented by actor Tony Robinson, each episode featured a team of specialists carrying out an archaeological dig over a period of three days, with Robinson explaining the process in layman's terms. This team of specialists changed throughout the series' run, although has consistently included professional archaeologists such as Mick Aston, Carenza Lewis, Francis Pryor and Phil Harding. The sites excavated over the show's run have ranged in date from the Palaeolithic right through to the Second World War.",['Tim Taylor'],/1LXvcjdQMsb9094a4cNGdk0S6QC.jpg
736,What Not to Wear,Reality,325,6.081,5.6,8,"Friends and family members nominate a candidate that they consider poorly dressed and ask the show to make over the ""fashion victim."" Fashion Police Stacy London and her partner ambush the candidate and make them an offer-- they are given a $5000.00 budget for a new wardrobe, which they must purchase in New York City boutiques over the course of two days, but only on the condition that they allow Stacy & her partner to critique, and in most cases throw out, their existing wardrobe.",,/7LRJOQjPROikFNQeIo8bPdZJShc.jpg
737,Fantastic Four,"Action & Adventure, Animation, Kids",26,13.401,6.6,58,"When Reed Richards, Sue and Johnny Storm and pilot Ben Grimm take a premature space flight on a new shuttle, they find themselves massively bombarded with cosmic radiation. Barely managing to re-enter and land safely, the quartet find themselves forever transformed with superpowers. Deciding to use these new powers to help people, they form the Fantastic Four, a superhero team dedicated to the protection of Earth from menaces like the Latverian King Dr. Doom and Galactus, the planet consumer.","['Stan Lee', 'Jack Kirby']",/faLwKXaDaVnE3E8EGAhzsmKfGeQ.jpg
738,The Ropers,Comedy,28,2.487,5.1,9,"The Ropers is an American sitcom that ran from March 13, 1979 to May 22, 1980 on ABC. The series is a spin-off of Three's Company and based on the British sitcom George and Mildred. The series focused on middle-aged couple Stanley and Helen Roper who were landlords to Jack, Janet, and Chrissy on Three's Company.

As was the case during their time on Three's Company, opening credits for The Ropers exist with either Audra Lindley or Norman Fell credited first.",,/tmKtdtAHrYlJkWLgh79yj9FSnPE.jpg
739,The Hardy Boys / Nancy Drew Mysteries,"Mystery, Action & Adventure",46,23.817,7.1,22,"The Hardy Boys/Nancy Drew Mysteries is a television series which aired for three seasons on ABC. The series starred Parker Stevenson and Shaun Cassidy as amateur sleuth brothers Frank and Joe Hardy, respectively, and Pamela Sue Martin as girl detective Nancy Drew.

The Hardy Boys/Nancy Drew Mysteries was unusual in that it often dealt with the characters individually, in an almost anthological style. That is, some episodes featured only the Hardy Boys and others only Nancy Drew.",,/2gNO5CI1U46a7faNu5aJUEsFS6H.jpg
740,"Lucy, the Daughter of the Devil","Animation, Comedy",11,2.939,7.3,13,Lucy is the 21 year old daughter of Satan in this dark comedy.,['Loren Bouchard'],/eUEeu0WV4QTK04OZ9RMjCYsQXtF.jpg
741,Are You Afraid of the Dark?,"Mystery, Kids",91,28.679,8.234,521,"Are You Afraid of the Dark? is a joint Canadian-American horror/fantasy-themed anthology television series. The original series was a joint production between the Canadian company Cinar and the American company Nickelodeon.

The episode ""The Tale of the Twisted Claw"" was aired as a pilot on the evening of October 31, 1991 in the USA and in October 1990 in Canada. Are You Afraid of the Dark? was aired from August 15, 1992 to April 20, 1996 on Nickelodeon's SNICK. The series also aired on the Canadian television network YTV from October 30, 1990 until June 11, 2000.

A revived series with new directors, writers, and cast was produced by Nickelodeon from 1999 to 2000 and also aired on SNICK. The sole member from the original lineup to return for the sixth and seventh seasons was Tucker, although Ross Hull returned for the concluding miniseries, which notably broke from the show's established format by blurring the line between story and ""reality"".","['D. J. MacHale', 'Ned Kandel']",/9CB16J0RHvbaO8Z7KXXwcknqlSX.jpg
742,Peacemakers,Drama,10,3.65,8.6,5,Jared Stone is an 1880's federal marshal with old-style crime-solving techniques. The marshal is constantly challenged as he brings together a team consisting of an abrasive yet gifted scientist and a strong-minded young medical student to help bring Silver City into the new age of criminal forensics.,"['Rick Ramage', 'Larry Carroll']",/mnHHUWo3kqM0LzEUJ59virTTT2T.jpg
743,The Mary Tyler Moore Show,Comedy,168,16.87,7.528,53,"30-year-old single Mary Richards moves to Minneapolis to start a new life after a romantic break-up. There she reacquaints with Phyllis who rents her a room, and meets her upstairs neighbor and new best friend Rhoda. Mary unexpectedly lands a job as associate producer at the TV station WJM, where she works alongside her bristly boss, Lou; the comical newswriter, Murray; and the newscast's often-incompetent anchor, Ted.","['James L. Brooks', 'Allan Burns']",/nFsgsmK7isjtdEVTL35mJEQZHuO.jpg
744,The Office,Comedy,12,18.253,7.8,654,Documentary-style sitcom set in the offices of a Slough paper merchant.,"['Ricky Gervais', 'Stephen Merchant']",/23Y3M7bYYhOCIHfbMWGX57hK2zl.jpg
745,Burn Notice,"Action & Adventure, Drama",111,34.27,7.471,398,A formerly blacklisted spy uses his unique skills and training to help people in desperate situations.,['Matt Nix'],/o2fnD3SNiQjGVgA2C3ezaeh2HK.jpg
746,The Riches,"Drama, Comedy",20,5.979,7.2,43,A family of crooks assume the identity of an upper-middle-class suburban clan in the Deep South.,['Dmitry Lipkin'],/c8eyL7xBTVZeeqb9oDEADqHlNc2.jpg
747,The Tudors,"Drama, Romance",38,54.566,7.809,570,"The Tudors is a history-based drama series following the young, vibrant King Henry VIII, a competitive and lustful monarch who navigates the intrigues of the English court and the human heart with equal vigor and justifiable suspicion.",['Michael Hirst'],/tGdf0NIGXrEnFQezRxh9UoT1Baa.jpg
748,A Little Princess,Drama,6,3.465,7.5,19,"Sara Crewe is the pampered daughter of an army colonel in a Victorian London girls' school. But when her father dies, penniless, Sara becomes a skivvy in Miss Michin's school, befriended only by the scullery maid, Becky, her friends Ermengarde and Lottie, a little monkey, a lascar, and the mysterious man next door. Based upon the novel by Frances Hodgson Burnett.",,/bYE4sqNKrGP5jrBk7MyR7GAiptT.jpg
749,Between the Lines,Drama,35,4.285,6.1,8,"Detective Superintendent Tony Clark is an ambitious member of the Complaints Investigation Bureau, an internal organisation that investigates claims of corruption inside the police in England and Wales. Along the way Clark overcomes strong influence from his superiors and problems in his private life, most notably the break-up of his marriage following an affair with WPC Jenny Dean.",['J.C. Wilsher'],/hGWVJMXV6T7lMDfPG8K7TX793uQ.jpg
750,Tales of the Gold Monkey,Action & Adventure,22,5.565,7.5,22,"In a backwater corner of the South Pacific in 1938, a young American adventurer and his ragtag group of friends become involved in death-defying hi-jinx, transporting people-on-the-run in a well-worn Grumman Goose seaplane.",['Donald P. Bellisario'],/yuWusb0dvhuw6fuKlVCgXgIh93g.jpg
751,BeastMaster,"Action & Adventure, Mystery, Drama, Sci-Fi & Fantasy",67,11.299,6.423,39,"BeastMaster is a Canadian television series that aired from 1999 to 2002. It was loosely based on a 1982 MGM film The Beastmaster. The series aired for three complete seasons. It is produced by Coote/Hayes Productions.

The series was nominated for the Open Craft Award in the category of cinematography by the Australian Film Institute in 2000, and for the Saturn Award for Best Syndicated/Cable Television Series by the Academy of Science Fiction, Fantasy, and Horror Films, USA, in 2001. BeastMaster is currently running in syndication on Sci-Fi Channel in the USA, but not in any prime-time slots.",['Andre Norton'],/kp0BYJwFfPlkSejAoIGc2GR77bD.jpg
752,Walking with Cavemen,Documentary,4,2.929,8.1,8,"Professor Robert Winston meets Lucy, the first upright ape, and follows her ancestors on the three-million-year journey to civilisation.",,/qdzebo9JTpv2bBhRZpvrWvYdRtH.jpg
753,Life on Mars,"Crime, Drama, Mystery, Sci-Fi & Fantasy",16,10.182,7.816,215,"A detective chief inspector from 2006 is investigating a serial killer when he is knocked over by a speeding car. Waking up, he finds himself mysteriously transported back in time to 1973. Initially struggling to come to terms with his situation, he has to come to terms with the old-fashioned technology and attitude of the day, while figuring out how he came to be trapped in the past.","['Ashley Pharoah', 'Matthew Graham', 'Tony Jordan']",/kFmhMpfyCVsu8AdJmz0xzULUduZ.jpg
754,TV Funhouse,"Animation, Sci-Fi & Fantasy, Comedy",8,1.681,5.6,5,"When you were a kid, cartoons were on Saturday mornings, TV show hosts were beloved, and puppets were friendly, caring and kind. Well, you're not a kid anymore. That's why Comedy Centrals TV Funhouse, featuring host Doug and his Anipals, is packed with enough twisted cartoons, crass puppets, live animals and guest stars to send you to bed weeping over your lost youth.",['Robert Smigel'],/hcPC1gTPmyRIL9TIzVPhIAWNpvK.jpg
755,The Benny Hill Show,Comedy,58,15.277,7.268,123,"The Benny Hill Show is a British comedy television show that starred Benny Hill and aired in various incarnations between 15 January 1955 and 30 May 1991 in over 140 countries. The show focused on sketches that were full of slapstick, mime, parody, and double-entendre. Thames Television cancelled production of the show in 1989 due to declining ratings and large production costs at £450,000 per show.",['Benny Hill'],/y3mGj6YAy7CRWMq06gjsXf3rIJ1.jpg
756,The Cramp Twins,"Animation, Comedy",50,5.708,6.217,23,"The story of a pair of non-identical twin brothers, Lucien and Wayne, who live with their hygiene-crazed mother and their western/country-crazed father in a small town called Soap City. Lucien is a delicate, nature-loving boy, while Wayne is a rough antisocial bully, whose only interest in life is junk. Naturally, some conflicts will ensue.",['Brian Wood'],/vDbVBSQJx4xz7FAaOoJG9IFhAsB.jpg
757,He-Man and the Masters of the Universe,"Action & Adventure, Animation",39,11.856,7.25,28,"Years ago, two leaders battled for the fantastical land of Eternia, one became the good King Randor, the other grew into the evil monster Skeletor who plans to rise once again and take Eternia. To protect the kingdom, the mystical powers of Castle Greyskull chose a hero - Randor's lazy, impulsive teenage son Adam.",['Donald F. Glut'],/kdyFHYYu5JCT8i9IRSwlOl3Lmbd.jpg
758,WWE Tough Enough,Reality,70,5.167,7.4,10,WWE Tough Enough is a professional wrestling reality television program produced by WWE where in participants undergo professional wrestling training and compete for a contract with WWE.,['Vince McMahon'],/g8firCMzcUOY0aLkB9PAzxbGZ36.jpg
759,The Mrs Merton Show,"Comedy, Talk",36,2.554,6.2,5,"The Mrs Merton Show is a mock chat show starring Caroline Aherne as the elderly host Mrs Merton. It ran from 10 February 1995 to 2 April 1998 and was produced by Granada Television and aired on the BBC. The writers included Aherne, Craig Cash, Dave Gorman and Henry Normal.

Prior to TV success, Aherne's Mrs Merton character appeared on Frank Sidebottom's album ""5/9/88"", then made her TV debut on the 1991 Channel 4 gameshow Remote Control, hosted by Anthony H Wilson. The chat show was followed up by a sitcom, Mrs Merton and Malcolm, based on Mrs Merton and her son Malcolm, who was played by Craig Cash.",['Caroline Aherne'],/pt7mCFAkrZ22YQXGUf5hkvjp2fw.jpg
760,Parker Lewis Can't Lose,Comedy,73,12.054,7.157,51,"For a cool high school kid and his friends, thwarting authority figures and other enemies is not a problem.","['Lon Diamond', 'Clyde Phillips']",/3kVzjNtBDPy0rY5gXOx7nELDGKO.jpg
761,The Golden Palace,Comedy,24,6.751,5.5,13,"The Golden Palace is an American sitcom that originally aired on CBS from September 18, 1992, to May 14, 1993. The show is a spin-off of the sitcom The Golden Girls, continuing the story from that series. CBS cancelled the spin-off in 1993 after one season.",['Susan Harris'],/ej1EQd50VZKvzoXzOsXR21D2u02.jpg
